time,open,high,low,close,tick_volume,spread,real_volume
1615321800,1.18894,1.18943,1.18885,1.18932,778,1,0
1615322700,1.18931,1.18951,1.18912,1.18943,701,1,0
1615323600,1.18943,1.18987,1.18939,1.1898,729,1,0
1615324500,1.18976,1.18984,1.18955,1.18961,492,1,0
1615325400,1.18961,1.19009,1.18959,1.19009,495,1,0
1615326300,1.19024,1.19044,1.18992,1.19001,601,1,0
1615327200,1.19001,1.19044,1.19,1.19035,530,1,0
1615328100,1.19036,1.19041,1.19008,1.19028,524,1,0
1615329000,1.19029,1.19049,1.19008,1.19048,560,1,0
1615329900,1.19049,1.1905000000000001,1.18992,1.19015,679,1,0
1615330800,1.19015,1.19026,1.18982,1.19006,597,1,0
1615331700,1.19006,1.1902,1.18986,1.18994,249,1,0
1615332600,1.18994,1.19022,1.18988,1.18994,317,1,0
1615333500,1.18993,1.19014,1.1898900000000001,1.19001,318,1,0
1615334400,1.19002,1.19024,1.18939,1.1899,132,2,0
1615335300,1.1899,1.1899,1.1892800000000001,1.1895,110,11,0
1615336200,1.18951,1.19015,1.18951,1.19011,143,8,0
1615337100,1.1901,1.19015,1.19002,1.19009,100,20,0
1615338000,1.19009,1.19019,1.18992,1.18992,428,1,0
1615338900,1.18992,1.19,1.18973,1.18973,419,1,0
1615339800,1.18974,1.18983,1.18963,1.18979,568,1,0
1615340700,1.18979,1.18997,1.18964,1.18968,283,1,0
1615341600,1.18968,1.18969,1.18915,1.18918,848,1,0
1615342500,1.18916,1.18919,1.18883,1.18894,706,1,0
1615343400,1.18894,1.18914,1.18889,1.18895,480,1,0
1615344300,1.18896,1.18951,1.1887699999999999,1.18936,740,1,0
1615345200,1.1893799999999999,1.18977,1.18933,1.18955,675,1,0
1615346100,1.18955,1.18963,1.18925,1.18956,765,1,0
1615347000,1.18955,1.18955,1.1884000000000001,1.18859,1058,1,0
1615347900,1.18858,1.18884,1.18844,1.18851,784,1,0
1615348800,1.18851,1.18856,1.1877,1.18791,1026,1,0
1615349700,1.18792,1.18833,1.18791,1.18809,572,1,0
1615350600,1.18809,1.18832,1.18789,1.1881,910,1,0
1615351500,1.18808,1.18832,1.18795,1.18812,685,1,0
1615352400,1.18813,1.18827,1.18794,1.18826,656,1,0
1615353300,1.18826,1.18832,1.18791,1.18796,544,1,0
1615354200,1.18798,1.18827,1.18796,1.1880600000000001,623,1,0
1615355100,1.1880600000000001,1.18811,1.18787,1.18801,606,1,0
1615356000,1.18801,1.18822,1.18798,1.18809,461,1,0
1615356900,1.18809,1.18819,1.18795,1.18797,280,1,0
